side,iteration,shoulder_number_of_velocity_peaks,elbow_number_of_velocity_peaks,wrist_number_of_velocity_peaks,shoulder_ratio_mean_peak_velocity,elbow_ratio_mean_peak_velocity,wrist_ratio_mean_peak_velocity,shoulder_mean_velocity,elbow_mean_velocity,wrist_mean_velocity,shoulder_peak_velocity,elbow_peak_velocity,wrist_peak_velocity,shoulder_sparc,elbow_sparc,wrist_sparc,shoulder_jerk,elbow_jerk,wrist_jerk,shoulder_movement_time,elbow_movement_time,wrist_movement_time,shoulder_percentage_time_to_peak_velocity,elbow_percentage_time_to_peak_velocity,wrist_percentage_time_to_peak_velocity,trunk_rom,shoulder_rom,elbow_rom,target_error_distance,hand_path_ratio
0,1,8,8,8,0.4703002850750148,0.4563360135122031,0.40084645881003017,2.4177915914812584,2.9151542136036186,0.03837584296917754,5.140952851209969,6.388174781926702,0.09573701382594646,-3.3490924844824446,-2.9368094429511604,-2.4147138915569433,-14.962198541748036,-14.111045568691567,-13.375245291498457,1.9789111614227295,1.9789111614227295,1.9789111614227295,4.809645121085088,4.809645121085088,67.44186102548687,0.27008083093387025,2.3363391046150213,2.010889340298796,0.02854272292636448,1.9196539062533753
0,2,6,8,9,0.33480782613313,0.44938337087882374,0.25379136538443936,1.8324623132281879,1.853618953003687,0.018335789444637176,5.473176461829611,4.124805395844333,0.0722474912291141,-4.2860345116999445,-3.1231490550150776,-2.0495012905606482,-15.294413912376287,-14.322887857148565,-13.890791412926669,1.981311321258545,1.981311321258545,1.981311321258545,28.06808289838707,12.010798267483107,37.46254913526979,0.5351172249788734,1.3329943925595842,1.3528509798730468,0.01288252026732022,1.808388860358931
0,3,7,6,8,0.36285274806752005,0.47717349107372004,0.28784764206008423,2.446241830508571,2.1247671756009674,0.01727899361528417,6.741692996778328,4.452818975379136,0.06002826179718164,-3.2490125304448076,-2.6733692099930324,-2.7990617092353722,-14.65999202340818,-13.722407750095677,-14.066570278020839,1.9586963653564453,1.9586963653564453,1.9586963653564453,43.23872040789895,43.23872040789895,31.26632915287544,0.7790847687720115,2.1190149284187783,1.1385061096459665,0.011564545515507282,1.7918659297188182
0,4,8,6,7,0.2868859624805685,0.2425565397619452,0.31537349142409166,2.1215871320513533,2.6382377939219226,0.02528231859779899,7.395228102856561,10.876795144386525,0.08016627676484432,-3.6764073791753633,-3.606398023677337,-2.7735442754571755,-14.831263744015546,-13.86566531455304,-13.426918651371103,1.9624712467193604,1.9624712467193604,1.9624712467193604,100.0,100.0,56.827746036088776,0.39471105519231187,1.529754633570576,1.9721597325635543,0.022034544938086553,1.5650744968322052
0,5,8,7,5,0.275348756243679,0.23006893030861453,0.20948451665496218,2.245442312915543,2.680249381367071,0.033541711299909564,8.15490268976688,11.64976677977241,0.16011546741258906,-4.159337007507673,-4.052258426194354,-2.748855218671153,-14.748518574119853,-14.108167373027499,-13.211283131824166,1.9623193740844727,1.9623193740844727,1.9623193740844727,17.097394540641446,14.827598691900093,12.497734055649163,0.5323906787618065,1.7846485593146468,3.0963353964892733,0.01225822741619495,2.614734412246178
0,6,8,8,7,0.22345859197049378,0.3070432098466615,0.24021892484361917,5.097736009960453,3.985582931181399,0.040842853796444305,22.812888799700193,12.980527832456591,0.17002346431711288,-4.1170321264272625,-3.821050069350037,-3.917331434263614,-15.29428002607098,-13.478472167223396,-13.217100693206207,1.9906532764434814,1.9906532764434814,1.9906532764434814,81.45466653013,81.45466653013,4.686561497495929,0.6406119689346166,5.788703687339449,4.278242849810333,0.021052415023710882,5.220906752976717
0,7,9,7,7,0.25133606352186555,0.3833778986485041,0.41921135515498276,4.20476221344817,2.8248630970356614,0.029363365450681207,16.72964139936236,7.368351454254297,0.07004429887121151,-2.640466325793013,-2.745544337025922,-2.6126113950140812,-15.157396177092124,-13.763058261664916,-13.849942599880627,1.9352569580078125,1.9352569580078125,1.9352569580078125,73.90218818251346,26.06576817999038,26.06576817999038,0.3875252704288119,5.503522179813629,3.6646737092704385,0.02685096008239342,1.600587196492304
0,8,8,7,6,0.2693243070709811,0.3222714428948627,0.28460767834034295,2.8060381990557977,2.4576362401367295,0.013414086541121733,10.418807829017302,7.6259820543221535,0.04713185048043834,-2.4814505408314487,-2.3498624174753813,-3.023014925694687,-16.18238803243101,-14.014455101540154,-14.568685721210452,1.9582843780517578,1.9582843780517578,1.9582843780517578,40.51622666686146,40.51622666686146,26.152181006228663,0.2826556534914024,2.604022787477547,2.488282650795867,0.01568657847067743,3.9977835457403574
0,9,7,8,8,0.38283696428605485,0.38848548546370154,0.2063645566415204,1.7932107180749355,2.0214596784327528,0.013749916173673556,4.68400620984721,5.203436818289134,0.06662925260735923,-3.109809558929224,-2.9873368319405063,-5.648596387994982,-15.91575936917706,-14.657231975047809,-14.999468637302904,1.9675531387329102,1.9675531387329102,1.9675531387329102,71.47833460728825,92.81772976871538,16.596053857999184,0.0297368506550848,0.8114845754608808,1.3275766022319928,0.015032417634967484,2.1050821480166593
0,10,8,8,7,0.46701949059899905,0.42936432146026676,0.3335488832739448,3.6315126390124957,3.08182366548478,0.025314716674160034,7.775933793158651,7.177642648563595,0.07589507248737803,-2.8306260252479634,-2.6745949663065964,-2.2075717805663055,-14.231839245700836,-13.335791890828599,-13.759465128156119,1.948096513748169,1.948096513748169,1.948096513748169,30.930304082446643,45.36266405610441,23.77604499083272,0.8785863718696172,1.251194692675,1.8137495445894025,0.020027373260021356,1.1963789344716795
