side,iteration,shoulder_number_of_velocity_peaks,elbow_number_of_velocity_peaks,wrist_number_of_velocity_peaks,shoulder_ratio_mean_peak_velocity,elbow_ratio_mean_peak_velocity,wrist_ratio_mean_peak_velocity,shoulder_mean_velocity,elbow_mean_velocity,wrist_mean_velocity,shoulder_peak_velocity,elbow_peak_velocity,wrist_peak_velocity,shoulder_sparc,elbow_sparc,wrist_sparc,shoulder_jerk,elbow_jerk,wrist_jerk,shoulder_movement_time,elbow_movement_time,wrist_movement_time,shoulder_percentage_time_to_peak_velocity,elbow_percentage_time_to_peak_velocity,wrist_percentage_time_to_peak_velocity,trunk_rom,shoulder_rom,elbow_rom,target_error_distance,hand_path_ratio
0,1,27,28,28,0.2669597484866736,0.20778237714736283,0.20824561945330483,7.797401415967328,15.476992976334456,0.2538396496539822,29.208153888999366,74.48655265580058,1.2189435260168868,-4.294200236299647,-4.6685402594670435,-4.502765748988635,-19.972016119361747,-19.778755619372657,-19.657907033380244,8.561750411987305,8.561750411987305,8.561750411987305,24.12278786666349,66.18244080909406,14.778595636317139,16.309278084503795,33.374423251031565,75.51840575651126,0.9523776676046679,1.270586787816126
0,2,28,27,26,0.2658258413846497,0.2961302070858773,0.36211359962151535,7.832337291938797,14.704899498718364,0.23145969434174765,29.464168160406246,49.656871021111215,0.6391908356484584,-4.819960690139369,-4.595069077438177,-3.9766615164562347,-19.764565803812907,-19.594595888300717,-19.49116119359298,8.190958976745605,8.190958976745605,8.190958976745605,91.80849213334089,40.24131655451148,77.93938601508957,13.310601698070398,36.035427944683676,80.63596451540936,0.9597174848670496,1.1724640886963105
0,3,28,28,25,0.1098409053315396,0.11887170080878302,0.23046479232257913,7.438633562801849,15.900553026149153,0.23951515601501752,67.72188867480071,133.76230774830736,1.0392700490223716,-4.146685768127718,-4.200314835718942,-3.7715911781329954,-19.998248517569255,-20.393996323595736,-19.616396581851422,8.368196725845337,8.368196725845337,8.368196725845337,36.735470519885304,33.46820704012885,33.46820704012885,13.960768735797114,37.23322690744775,82.16416184923291,0.8367053817620853,1.2374915735781187
0,4,25,25,23,0.21668945186922792,0.13382269885751416,0.14135386692556745,9.355492835194855,19.4579391581487,0.2767102546532387,43.17465734714625,145.400887325298,1.9575711699415035,-4.4577716297261,-3.3354063069943787,-3.668978533498024,-19.123485763303012,-19.0647375765204,-19.571773961444325,7.150892972946167,7.150892972946167,7.150892972946167,6.504636962354474,6.931813032892754,6.931813032892754,12.229615757557879,37.87549953943058,88.48664050751042,0.7732702041723556,1.200631973101389
0,5,24,20,23,0.34760458412749007,0.18000043939052757,0.15055576857065278,8.98795960784596,17.585357152871694,0.263357498571422,25.856850048184256,97.69619014495092,1.7492355229672494,-4.455767574804693,-5.219649625573459,-4.8338511799956,-19.20094863918908,-18.96929034163883,-18.92575664939621,7.08818793296814,7.08818793296814,7.08818793296814,74.26746000632693,6.545630737152336,6.545630737152336,11.442599704127982,44.763508350552634,75.65351434104315,0.8566691981770127,1.1789390372017061
0,6,22,23,23,0.1950443720945514,0.27366252691681203,0.3224782330878184,9.190373037215833,18.573554819159476,0.28208265513501635,47.119396158534784,67.87028910540414,0.8747339391995447,-3.8780864975785225,-3.8757985440639855,-3.8907756953048893,-19.15435687356945,-19.614282930869578,-18.940050119354506,7.74259090423584,7.74259090423584,7.74259090423584,43.97647035638117,52.6809573459774,43.97647035638117,14.396174457160253,39.8008299602415,77.95733825909414,0.921982702438888,1.2848166692226073
0,7,30,26,24,0.26249443273241835,0.21751560654907298,0.33862410193940856,8.118515363987783,17.663349273835163,0.22370021888407085,30.928333524938555,81.20497445708656,0.6606151706357231,-3.5093974232931835,-3.7400139564941512,-3.80585719566653,-20.167729866152495,-20.139471372278017,-19.42202696712201,8.559953451156616,8.559953451156616,8.559953451156616,82.6178151397568,36.25599520842896,13.637675376131725,13.456192518829821,42.47033314314553,92.66135371262165,0.8713795590526894,1.1532160128618334
0,8,29,27,23,0.18588158535004573,0.16425769407875976,0.3102366712193682,9.018696391839296,17.735417856639348,0.25823654119317235,48.518503728358034,107.97313304626942,0.832385611211556,-4.185122962704639,-4.212480718603303,-3.2475351440457914,-19.903267984750542,-20.094718581503578,-19.15187366852413,8.180891990661621,8.180891990661621,8.180891990661621,78.6284633517158,51.82370034949868,51.436548462414464,17.518643575652497,29.880312921030814,77.43813284817529,1.018254886092775,1.2419973034390581
0,9,22,26,24,0.21975470599811742,0.29386907137715046,0.32367329896201125,8.878063102386019,16.069267723571365,0.25898357615531087,40.39987704500888,54.681724920102695,0.8001388343921045,-3.678439823331295,-3.5575263337004337,-4.1295738165993665,-19.078714763660063,-19.30677825073678,-18.692776188618385,7.181288242340088,7.181288242340088,7.181288242340088,57.42777362372332,36.49334775451648,11.530676144683625,15.774985955414072,38.067819798463354,78.95222275003255,0.8964914346361208,1.1021743747281474
0,10,26,25,25,0.2077709093991084,0.3310500277032531,0.32178604420001633,8.574398216673183,16.92821553579918,0.24463696909378027,41.26852137997129,51.134916535857556,0.7602472932036741,-4.2137077058023165,-3.484950119285976,-3.6978831042207405,-19.632342140381983,-19.412789165282724,-18.774258082316084,7.632060766220093,7.632060766220093,7.632060766220093,83.86679430122904,27.03093165910176,1.2504192675415964,13.635112709017298,41.58992114995584,90.28875766002258,0.8580487925582752,1.1270344199331237
