profile,side,iteration,shoulder_number_of_velocity_peaks,elbow_number_of_velocity_peaks,wrist_number_of_velocity_peaks,shoulder_ratio_mean_peak_velocity,elbow_ratio_mean_peak_velocity,wrist_ratio_mean_peak_velocity,shoulder_mean_velocity,elbow_mean_velocity,wrist_mean_velocity,shoulder_peak_velocity,elbow_peak_velocity,wrist_peak_velocity,shoulder_sparc,elbow_sparc,wrist_sparc,shoulder_jerk,elbow_jerk,wrist_jerk,shoulder_movement_time,elbow_movement_time,wrist_movement_time,shoulder_percentage_time_to_peak_velocity,elbow_percentage_time_to_peak_velocity,wrist_percentage_time_to_peak_velocity,trunk_rom,shoulder_rom,elbow_rom,target_error_distance,hand_path_ratio
1,0,15,7,7,8,0.35302116,0.311725971,0.339417505,2.679862282,1.915095537,0.018792263,7.591222805,6.143522565,0.055366216,-3.723910881,-2.643802106,-3.605885145,-15.45372391,-14.41749608,-14.18886556,1.947248697,1.947248697,1.947248697,42.69102854,85.53888879,100,0.402128058,2.222069507,1.795104298,0.005393639,17.82842712
2,0,1,7,7,8,0.251147438,0.397720539,0.320869975,2.395317811,2.538354333,0.026081658,9.537496487,6.382256099,0.081284195,-4.090522388,-3.422877906,-4.544882212,-14.53769551,-14.04811189,-13.86531226,1.972187281,1.972187281,1.972187281,100,4.931338464,100,0.400428282,3.718638542,3.52043651,0.034450464,2.03129017
2,0,2,8,8,7,0.24895055,0.328630127,0.198017948,1.263490352,1.616617544,0.017921611,5.075266359,4.919261533,0.090504984,-4.268633058,-3.993924185,-6.163946593,-15.34841009,-14.7238435,-14.28971383,1.937788248,1.937788248,1.937788248,80.57515355,28.57180647,4.968494672,0.6538326,0.980443784,0.79481768,0.01302343,1.337044775
2,0,3,8,7,7,0.346912549,0.361974266,0.218880054,1.640262934,1.859851781,0.025536017,4.72817411,5.13807736,0.116666714,-3.447836594,-3.343259144,-3.451080846,-15.41722572,-14.65706783,-13.68952369,1.980562449,1.980562449,1.980562449,60.46090077,62.9777656,95.42284468,0.495639376,1.762785938,1.204659324,0.019849945,1.914213562
2,0,4,7,7,7,0.320393993,0.349720015,0.239243822,2.5292138,2.354389768,0.029522794,7.894073716,6.732213382,0.123400443,-3.708935676,-2.822860676,-3.185111123,-15.60262894,-14.23208702,-13.86855517,1.983330488,1.983330488,1.983330488,4.879950463,4.879950463,39.1037965,0.385615774,2.352097588,2.627697765,0.017126559,1.374929963
2,0,5,7,7,6,0.254592372,0.223509524,0.117432939,2.132150949,2.595870984,0.029384585,8.374763692,11.61414036,0.250224382,-4.460728464,-4.17683199,-3.020628139,-15.43304641,-14.09387137,-13.46096951,1.989140034,1.989140034,1.989140034,20.92399454,4.58355917,4.58355917,0.743240082,3.040970884,3.193906366,0.030668997,1.293641373
2,0,6,9,7,7,0.259402052,0.362272634,0.325899203,1.395691433,1.496643747,0.022553526,5.380417867,4.131263599,0.069203992,-3.997903874,-4.09340412,-5.431549849,-15.62577105,-14.81701653,-14.05722421,1.981059551,1.981059551,1.981059551,23.11625499,23.11625499,88.43096888,0.509687288,1.704252723,0.794975524,0.012757374,1.852577269
2,0,7,7,7,6,0.399502006,0.429312442,0.322008911,2.317338737,1.957629319,0.026832849,5.80056847,4.559917506,0.083329523,-3.361097606,-2.89142361,-3.959486598,-15.08335426,-14.37963813,-13.48262822,1.993675709,1.993675709,1.993675709,22.92362117,25.32048837,4.550672907,0.875217051,2.005954299,1.109898943,0.021433421,3.720433448
2,0,8,7,7,8,0.252130877,0.237769016,0.179887103,1.400323691,1.075427859,0.013132463,5.553955586,4.522994114,0.073003914,-4.463077834,-5.071085557,-5.917901441,-15.3943319,-14.76784642,-14.87220644,1.994385958,1.994385958,1.994385958,34.82715787,11.22263185,11.22263185,0.616258569,0.794722575,1.010157734,0.019252746,3
2,0,9,7,7,7,0.431644973,0.442613512,0.343654552,2.90922682,2.768733115,0.027390085,6.739860308,6.255419314,0.079702377,-2.705886606,-2.628601566,-2.645449305,-14.4684705,-13.61834212,-13.62587019,1.942495584,1.942495584,1.942495584,30.44728164,30.44728164,25.69980154,0.880359101,2.97413549,1.289727925,0.019260263,1.472792206
2,0,10,7,6,7,0.418253576,0.442756692,0.275081749,3.314884571,2.577799844,0.025028448,7.925537905,5.822158962,0.090985493,-2.933559557,-3.747401211,-4.681925474,-13.92909956,-12.54259962,-13.19746837,1.965358973,1.965358973,1.965358973,35.88919892,4.721244965,4.721244965,0.380657646,2.358296556,2.884428934,0.016282422,1.529078735
2,0,11,7,8,9,0.29778671,0.25578548,0.359217918,3.236232858,2.512662658,0.016568011,10.86762017,9.823320157,0.046122452,-3.109286179,-3.532351296,-3.851731784,-15.08813819,-13.86210161,-14.33550028,1.93985796,1.93985796,1.93985796,29.878346,29.878346,85.44191907,0.501298762,2.628500322,1.75957038,0.016622614,9.899494937
2,0,12,8,8,8,0.368651574,0.334984916,0.355902719,1.521220652,1.145840223,0.017554157,4.126445557,3.420572589,0.049322909,-3.400431053,-3.1115769,-3.256262086,-14.60680299,-14.27544586,-14.09914946,1.956593513,1.956593513,1.956593513,65.12508061,13.87460355,59.65838499,0.379911502,1.41185583,0.991762642,0.007635696,2.888383153
