profile,side,iteration,shoulder_number_of_velocity_peaks,elbow_number_of_velocity_peaks,wrist_number_of_velocity_peaks,shoulder_ratio_mean_peak_velocity,elbow_ratio_mean_peak_velocity,wrist_ratio_mean_peak_velocity,shoulder_mean_velocity,elbow_mean_velocity,wrist_mean_velocity,shoulder_peak_velocity,elbow_peak_velocity,wrist_peak_velocity,shoulder_sparc,elbow_sparc,wrist_sparc,shoulder_jerk,elbow_jerk,wrist_jerk,shoulder_movement_time,elbow_movement_time,wrist_movement_time,shoulder_percentage_time_to_peak_velocity,elbow_percentage_time_to_peak_velocity,wrist_percentage_time_to_peak_velocity,trunk_rom,shoulder_rom,elbow_rom,target_error_distance,hand_path_ratio
1,0,15,4,4,2,0.244409133,0.224133339,0.337261309,47.68644769,66.18946484,1.149007344,195.1091072,295.312893,3.406875658,-1.582130052,-1.52748331,-1.650872282,-13.29358231,-12.3911126,-11.69753519,1.4722507,1.4722507,1.4722507,47.97450781,31.60245873,43.53933326,0.82237098,66.99275012,78.85135195,0.717752232,1.057978973
2,0,1,9,14,13,0.412704168,0.24527612,0.335639221,17.29749729,28.35046592,0.448417447,41.91258206,115.5859198,1.336010275,-2.393354968,-2.600434402,-2.40365902,-17.16823439,-16.31934333,-15.99538666,3.972503901,3.972503901,3.972503901,51.20175149,12.51605985,12.51605985,3.009833662,61.28384765,83.31585198,0.797433969,1.057701935
2,0,2,17,17,17,0.278594418,0.259029327,0.370788148,12.04232132,19.91330947,0.353235361,43.22527858,76.87665999,0.952660873,-2.66804887,-2.529002065,-2.377655909,-18.8751929,-17.48967949,-17.47669465,5.056480885,5.056480885,5.056480885,60.43573358,47.46138538,25.61976098,2.060111024,57.07123648,75.13256472,0.903425332,1.086790819
2,0,3,16,15,17,0.226770858,0.292546798,0.434998397,12.68409371,20.29715084,0.35749663,55.93352614,69.38086817,0.821834363,-2.617089462,-3.055145751,-2.857352355,-18.47200981,-17.37602696,-17.12553379,4.893696547,4.893696547,4.893696547,75.46692673,10.08476662,10.08476662,2.317849643,54.90298724,78.99393478,0.868234165,1.063518758
2,0,4,13,16,14,0.304348564,0.241527348,0.470052453,13.51965904,20.09235536,0.355297909,44.42162912,83.18873845,0.755868642,-2.612302846,-2.974923708,-2.62218074,-18.28578011,-17.52804018,-16.99482979,4.92343688,4.92343688,4.92343688,73.97176644,46.36865714,11.24889112,1.648344505,59.14527562,76.63612866,0.899096094,1.081461512
2,0,5,22,21,19,0.24192605,0.325490174,0.367304226,12.39959296,16.83005621,0.292835372,51.25364941,51.70680262,0.797255658,-2.667101299,-3.342588626,-3.533656848,-19.45316714,-18.88162651,-18.05170196,6.192772865,6.192772865,6.192772865,80.10173643,9.057562585,79.57378912,2.653272028,60.0565819,77.37887796,0.941440769,1.099167103
2,0,6,21,25,22,0.259124182,0.36546445,0.415396192,12.6280213,16.47942785,0.308769739,48.7334728,45.09173971,0.74331384,-2.773369867,-2.970188784,-2.751996326,-19.38256368,-18.28004764,-17.8806555,6.065509558,6.065509558,6.065509558,90.69030275,35.8981912,70.39287334,2.759107659,58.65689174,77.65217654,0.991195043,1.091941518
2,0,7,16,16,14,0.326734476,0.390652561,0.32993002,13.16860383,23.60889027,0.388537788,40.30368637,60.43449507,1.177636966,-2.82307612,-2.676098283,-2.638276912,-18.28154546,-17.52349149,-17.25189728,4.80053091,4.80053091,4.80053091,78.95455182,9.601728065,17.3088539,1.936800386,55.93303487,81.05782913,0.811766957,1.122660895
2,0,8,17,19,16,0.336443263,0.258423327,0.433604196,13.62645044,24.72487489,0.365216885,40.50148109,95.67586333,0.842281712,-2.636676833,-2.292856329,-2.474453313,-18.38501642,-17.26860362,-17.0482112,4.862099886,4.862099886,4.862099886,65.77290631,34.21424622,42.41310736,1.798551854,60.17869319,90.24486436,0.745449256,1.077921597
2,0,9,16,16,16,0.331828984,0.294713635,0.433920116,13.43862431,23.5809005,0.379575361,40.49864532,80.01292665,0.874758619,-2.68762606,-2.662788767,-2.63601601,-18.71413278,-17.26546149,-16.87118587,4.653558254,4.653558254,4.653558254,80.05329115,40.69151948,21.27818835,2.070030653,56.03447827,81.66685145,0.842499212,1.076347605
2,0,10,17,16,14,0.317101076,0.275355525,0.500125149,13.75673173,22.27327405,0.386190552,43.3827974,80.88914881,0.772187826,-2.618475297,-2.729044529,-2.614381249,-18.26551055,-17.46202161,-16.76756848,4.686919451,4.686919451,4.686919451,86.67499561,30.38057336,44.70201871,2.197321336,57.61918006,82.17905545,0.874548424,1.079018519
2,0,11,16,15,15,0.294644848,0.232377657,0.47230184,12.72633573,21.87404377,0.377547982,43.19212029,94.13144138,0.799378597,-2.505781674,-2.877036268,-2.648025939,-18.5500772,-17.49072837,-16.84355137,4.943586349,4.943586349,4.943586349,89.58399325,49.12251342,49.12251342,2.374318631,58.55385233,82.49367168,0.89592714,1.089159913
2,0,12,13,13,15,0.289760923,0.271944905,0.402841597,13.32535389,20.70394215,0.399571521,45.98740838,76.13285559,0.991882477,-2.538044027,-2.581026635,-2.631905154,-18.28615951,-17.2451074,-16.84448323,4.705474377,4.705474377,4.705474377,60.85909692,49.62358996,25.46842628,2.759107659,57.83568977,77.11061579,0.889928757,1.113680686
2,0,13,16,17,18,0.359820007,0.230877135,0.439739552,11.99825721,19.7619475,0.346741653,33.34516421,85.59508297,0.788515955,-2.841990407,-2.862602911,-2.960022624,-18.960528,-17.6145841,-17.38667779,5.232425451,5.232425451,5.232425451,57.19597166,49.54199059,27.19855477,2.759107659,59.71553599,78.33693717,0.889545461,1.106542159
2,0,14,17,17,13,0.23423892,0.266229523,0.467115438,12.43252725,20.52061409,0.357315463,53.07626612,77.07865697,0.764940384,-2.616730708,-3.267244131,-3.247883785,-18.77949391,-17.83569726,-17.07788059,5.105413914,5.105413914,5.105413914,81.54432092,51.74423258,81.54432092,1.92970744,55.98498054,81.4601435,0.909926092,1.107089339
2,0,15,19,18,16,0.231745054,0.322056605,0.503354552,11.22932197,20.18427742,0.323937099,48.45549783,62.67307394,0.64355651,-2.523005354,-2.549777885,-2.548777819,-19.13327666,-18.4255865,-17.23948014,5.537202358,5.537202358,5.537202358,84.35280354,33.25328067,33.25328067,1.803312726,54.83163232,79.68810402,0.87999208,1.068885566
3,0,1,34,29,28,0.14954429,0.156662994,0.204988311,9.705786673,22.92810222,0.287218685,64.90242227,146.3530198,1.401146649,-3.397081766,-3.845350039,-4.428207824,-21.58886556,-21.53144811,-20.14473157,9.184889317,9.184889317,9.184889317,61.66643798,72.12513178,72.12513178,2.2560838,54.3513012,103.6046841,0.90066361,1.6162995
3,0,2,33,33,29,0.224942058,0.281607039,0.257185104,10.13761782,17.12705776,0.220117778,45.06768505,60.81899733,0.855872967,-5.56700401,-4.287126746,-4.749524392,-21.88615465,-20.57739841,-20.17613533,10.00016522,10.00016522,10.00016522,39.36287931,51.99756541,4.316370696,1.819825179,60.27067641,102.8816084,0.8603789,1.345795687
3,0,3,33,30,30,0.132910358,0.237752694,0.259184269,8.508309613,18.29633947,0.231639203,64.01539933,76.95534045,0.893724005,-4.464099002,-3.922363246,-3.921681034,-22.37161012,-20.70662232,-20.14077533,10.12859082,10.12859082,10.12859082,42.8211323,29.69045597,43.12560435,1.269132277,64.92926184,97.10995036,0.868306335,1.467332569
3,0,4,33,34,31,0.201154475,0.127738425,0.190982012,7.891230383,15.55977351,0.214828892,39.22970328,121.809655,1.124864533,-4.240868123,-6.508413279,-5.776371905,-22.05610601,-20.78615935,-20.51075314,10.68894172,10.68894172,10.68894172,58.53981575,58.53981575,4.944001663,2.154876373,63.30971574,94.44417623,0.858489625,1.35387245
3,0,5,35,33,30,0.147178295,0.176178558,0.252804902,7.941139238,17.18740912,0.23563938,53.95591288,97.55675885,0.932099728,-4.109729521,-3.943738997,-4.407571582,-22.19460001,-20.80257824,-20.23806707,10.36624527,10.36624527,10.36624527,69.49682634,45.98469925,63.11623282,2.121096397,59.5059211,88.14449211,0.93863136,1.433622379
3,0,6,32,32,31,0.226528637,0.133828283,0.207762539,8.53852521,20.95772869,0.251346942,37.69291743,156.6016404,1.209779891,-3.6653871,-5.032091536,-5.688745341,-21.72563739,-20.56671154,-20.42541071,9.694249392,9.694249392,9.694249392,72.76403914,37.43571453,73.41837973,2.362805908,63.73277749,101.952262,0.856161755,1.436989965
3,0,7,31,31,29,0.121340539,0.141307836,0.182799866,9.346305193,19.53676478,0.256057239,77.02541383,138.2567682,1.400751788,-5.68153933,-5.85744853,-5.494416092,-21.57134194,-20.69241746,-20.45921387,9.582951307,9.582951307,9.582951307,34.73028472,19.03811758,4.828191086,1.259210806,64.08723356,97.74049778,0.819912342,1.541510909
3,0,8,32,31,32,0.268203499,0.21983985,0.26614973,8.768331998,20.18709994,0.260153334,32.69283222,91.82639083,0.977469842,-3.29423889,-4.647045521,-4.748201029,-22.13018503,-20.81143357,-20.48374576,9.760457516,9.760457516,9.760457516,74.42828024,54.25786584,75.09433825,1.28893756,62.57573077,98.35584822,0.848879455,1.564031397
3,0,9,34,31,30,0.149621618,0.256485358,0.179987313,8.891772996,20.83122481,0.225257226,59.42839748,81.21798845,1.251517248,-5.157860445,-5.338046569,-6.02576385,-21.94269547,-21.18128001,-20.67137365,10.19257236,10.19257236,10.19257236,78.01293624,72.84431545,78.52455537,1.709814044,66.75407308,105.020706,0.770088415,1.535030921
3,0,10,37,36,33,0.135872584,0.19586821,0.199625846,9.229041266,18.85938006,0.224465235,67.92423473,96.28606957,1.124429724,-4.48538411,-6.131762779,-6.291626826,-22.05824767,-21.03280588,-20.83100271,10.87935138,10.87935138,10.87935138,89.57820998,53.41229214,4.410520172,2.307900791,71.18905566,101.7586995,0.859296576,1.44215909
3,0,11,34,33,29,0.176813108,0.187040688,0.215660921,8.244441035,17.61818822,0.221741653,46.62799678,94.19441495,1.028195803,-5.221723907,-4.421341714,-5.787287515,-22.00805073,-20.88289263,-20.30539777,10.24341321,10.24341321,10.24341321,72.94287316,41.07718909,84.35891742,2.451694052,64.23183824,98.10913922,0.883712288,1.359354453
3,0,12,30,23,21,0.154431724,0.130701104,0.217046555,9.707439278,24.56561448,0.290544977,62.85910057,187.9526168,1.338629755,-3.792790587,-4.506030549,-4.807931089,-20.7639233,-20.13856193,-19.49199137,7.872846603,7.872846603,7.872846603,71.96984463,29.28985856,29.28985856,2.190602337,57.32706492,118.5810701,0.786055726,1.4098891
